ID,X,Y,Timestamp,User ID,URL,TITLE
10166337@N07,6.120983123779297,46.20124053955078,26/07/2007 20:31:00,10166337@N07,http://farm2.static.flickr.com/1226/925729560_7144fe4fa3_m.jpg,Junction Rhône and Arve River
10166337@N07,6.1214118003845215,46.20194625854492,26/07/2007 20:34:00,10166337@N07,http://farm2.static.flickr.com/1276/924626535_a2f008c97f_m.jpg,Graffities
10166337@N07,6.097561836242676,46.23526382446289,28/07/2007 16:44:00,10166337@N07,http://farm2.static.flickr.com/1258/970566487_1add62d971_m.jpg,Learning  to Fly
10003691@N00,9.282642364501953,46.01068115234375,12/07/2008 03:33:00,10003691@N00,http://farm4.static.flickr.com/3290/2748825921_4d8cca95cb_m.jpg,Varenna3a 057
10003691@N00,9.264906883239746,45.99111557006836,13/07/2008 18:45:00,10003691@N00,http://farm4.static.flickr.com/3258/2803400605_bf39f587fe_m.jpg,IMG_6223
10003691@N00,9.25881290435791,45.9849739074707,13/07/2008 23:28:00,10003691@N00,http://farm4.static.flickr.com/3197/2804223176_407ccaca55_m.jpg,Bellagio 002
10111709@N06,8.110516548156738,47.17235565185547,13/02/2007 20:39:00,10111709@N06,http://farm3.static.flickr.com/2336/2246590977_4b6abffe7d_m.jpg,Böögverbrennen 2008
10115955@N00,9.4038667678833,46.208290100097656,29/10/2006 12:14:00,10115955@N00,http://farm1.static.flickr.com/112/283427643_9f88335c94_m.jpg,CIMG0445.JPG
10115955@N00,10.101242065429688,46.40809631347656,17/06/2007 07:21:00,10115955@N00,http://farm2.static.flickr.com/1342/561138446_6c0c5ff3cf_m.jpg,CIMG1828.JPG
10115955@N00,10.101242065429688,46.40809631347656,17/06/2007 09:42:00,10115955@N00,http://farm2.static.flickr.com/1364/561576097_ba9a14535b_m.jpg,CIMG1831.JPG
10143283@N04,7.337492942810059,46.1895751953125,28/05/2008 14:10:00,10143283@N04,http://farm3.static.flickr.com/2088/2533384421_cd8a532152_m.jpg,1209 Vicia onobrychioides
10143970@N02,7.455532073974609,46.94859313964844,12/11/2008 23:52:00,10143970@N02,http://farm4.static.flickr.com/3121/3082736737_16719f5c21_m.jpg,Green Tunnel
10195717@N06,7.877319812774658,46.68193054199219,09/10/2006 15:23:00,10195717@N06,http://farm2.static.flickr.com/1342/964256687_3fb3a71544_m.jpg,Vimana-Pavillon
10195717@N06,7.497138023376465,47.2443962097168,11/10/2006 10:38:00,10195717@N06,http://farm4.static.flickr.com/3086/2420816173_1a36b6a11c_m.jpg,Mast kurz vor der Mittelstation des Sessellifts
10227019@N08,9.405713081359863,46.02372741699219,24/09/2007 20:51:00,10227019@N08,http://farm2.static.flickr.com/1380/1433723421_99c7fe978a_m.jpg,La vista da Pian delle betulle
10230466@N06,8.052977561950684,46.410343170166016,15/10/2007 09:41:00,10230466@N06,http://farm3.static.flickr.com/2154/1846460064_e4b66a4eb8_m.jpg,
10119848@N07,6.151548862457275,46.20469665527344,06/07/2007 00:49:00,10119848@N07,http://farm2.static.flickr.com/1248/829324004_3d174c74a1_m.jpg,IMG_0591
10197666@N07,6.010378837585449,46.65438461303711,25/03/2008 13:32:00,10197666@N07,http://farm4.static.flickr.com/3095/2383558898_8872f7c95d_m.jpg,Cascades de Tufs - Les Planches - Arbois - Jura - France
10230466@N06,8.062590599060059,47.39846420288086,17/04/2008 21:28:00,10230466@N06,http://farm4.static.flickr.com/3281/2446363560_71b9a5abd6_m.jpg,Nerve
10111709@N06,7.517137050628662,46.60712814331055,31/05/2008 10:20:00,10111709@N06,http://farm3.static.flickr.com/2185/2542851032_397320e6f4_m.jpg,iXS Downhill Cup Wiriehorn 2008
